soc_code,s_ij,E_j,E_sub_j,E_aug_j,isco_4digit,mapping_stage,ch_isco_4digit,ch_isco_label,main_group,employed_2022,employed_2024,delta_bfs,is_outlier
17-2121.00,0.3725225342557929,0.0,0.0,0.0,2144,1,2144,"Maschinenbau- , Mechatronik- und Systemtechnikingenieure",2,9.728896910697,10.551287836634446,8.453074726624155,False
17-2131.00,0.3976492573594952,0.0,0.0,0.0,2149,1,2149,"Ingenieure, anderweitig nicht genannt",2,5.215934733249,4.863642360752166,-6.754156071991167,False
17-2141.00,0.4206112564767089,0.0,0.0,0.0,2144,1,2144,"Maschinenbau- , Mechatronik- und Systemtechnikingenieure",2,9.728896910697,10.551287836634446,8.453074726624155,False
17-2141.02,0.4966456382315173,0.0,0.0,0.0,2144,1,2144,"Maschinenbau- , Mechatronik- und Systemtechnikingenieure",2,9.728896910697,10.551287836634446,8.453074726624155,False
17-2151.00,0.44027475727880844,0.0,0.0,0.0,2142,1,2142,Bauingenieure,2,11.233861333084002,10.017360337809963,-10.828876725506763,False
17-2171.00,0.2328603580219598,0.0,0.0,0.0,2146,1,2146,"Bergbauingenieure, Metallurgen und verwandte Berufe",2,,,,
17-2199.03,0.4036833423683128,0.0,0.0,0.0,2149,1,2149,"Ingenieure, anderweitig nicht genannt",2,5.215934733249,4.863642360752166,-6.754156071991167,False
17-2199.05,0.3289444879089848,0.0,0.0,0.0,2144,1,2144,"Maschinenbau- , Mechatronik- und Systemtechnikingenieure",2,9.728896910697,10.551287836634446,8.453074726624155,False
17-2199.06,0.34193081608683457,0.0,0.0,0.0,2152,1,2152,Ingenieure im Bereich Elektronik,2,3.099915272122,3.4648638391465907,11.772856190832965,False
17-2199.07,0.4534005901759752,0.0,0.0,0.0,2149,1,2149,"Ingenieure, anderweitig nicht genannt",2,5.215934733249,4.863642360752166,-6.754156071991167,False
17-2199.10,0.5416253873424446,0.0,0.0,0.0,2149,1,2149,"Ingenieure, anderweitig nicht genannt",2,5.215934733249,4.863642360752166,-6.754156071991167,False
17-2199.11,0.39271232761920194,0.0,0.0,0.0,2149,1,2149,"Ingenieure, anderweitig nicht genannt",2,5.215934733249,4.863642360752166,-6.754156071991167,False
17-3011.00,0.38200796456858577,0.0,0.0,0.0,3118,1,3118,Technische Zeichner,3,27.021317878039003,28.27450634808652,4.637777016294312,False
17-3012.00,0.3576525023870418,0.0,0.0,0.0,3118,1,3118,Technische Zeichner,3,27.021317878039003,28.27450634808652,4.637777016294312,False
17-3013.00,0.44748587378103044,0.0,0.0,0.0,3118,1,3118,Technische Zeichner,3,27.021317878039003,28.27450634808652,4.637777016294312,False
17-3021.00,0.2540564653984497,0.0,0.0,0.0,3115,1,3115,"Maschinenbautechniker, Techniker im Bereich Systemtechnik, Automation und Unternehmensprozesse",3,11.019605854272998,11.97433846910366,8.663945221420533,False
