soc_code,isco_4digit,main_group,E_j,delta_bfs,is_outlier,employed_2022,employed_2024,qualification_level,sector
25-1065.00,2310,2,0.38763667638129384,5.922274763909165,False,16.214208988428997,17.17445899551822,4,Sonstiges
25-1066.00,2310,2,0.4738223089575115,5.922274763909165,False,16.214208988428997,17.17445899551822,4,Sonstiges
25-1067.00,2310,2,0.37305303418350116,5.922274763909165,False,16.214208988428997,17.17445899551822,4,Sonstiges
25-1071.00,2310,2,0.25036046854393357,5.922274763909165,False,16.214208988428997,17.17445899551822,4,Sonstiges
25-1081.00,2310,2,0.2756249171326951,5.922274763909165,False,16.214208988428997,17.17445899551822,4,Sonstiges
25-1111.00,2310,2,0.3098369494303906,5.922274763909165,False,16.214208988428997,17.17445899551822,4,Sonstiges
25-1112.00,2310,2,0.38804071744649526,5.922274763909165,False,16.214208988428997,17.17445899551822,4,Sonstiges
25-1113.00,2310,2,0.17522177864790422,5.922274763909165,False,16.214208988428997,17.17445899551822,4,Sonstiges
25-1121.00,2310,2,0.028108874524195054,5.922274763909165,False,16.214208988428997,17.17445899551822,4,Sonstiges
25-1123.00,2310,2,0.2521895298882345,5.922274763909165,False,16.214208988428997,17.17445899551822,4,Sonstiges
25-1124.00,2310,2,0.18915004972001684,5.922274763909165,False,16.214208988428997,17.17445899551822,4,Sonstiges
25-1126.00,2310,2,0.3402440184210958,5.922274763909165,False,16.214208988428997,17.17445899551822,4,Sonstiges
25-1192.00,2310,2,0.3168114197995398,5.922274763909165,False,16.214208988428997,17.17445899551822,4,Sonstiges
25-1193.00,2310,2,0.1619702350064461,5.922274763909165,False,16.214208988428997,17.17445899551822,4,Sonstiges
25-1194.00,2320,2,0.08197462567425914,-15.4376255333406,False,13.416577980547006,11.345376912521528,4,Sonstiges
25-2012.00,2342,2,0.0,-3.4070721128704475,False,25.699583072334,24.82397974435253,4,Sonstiges
25-2021.00,2352,2,0.0,-4.290954457192263,False,17.397115878819,16.650613559593914,4,Sonstiges
25-2023.00,2330,2,0.2034167035172082,19.975657554510555,False,41.82404447045,50.1786723693133,4,Sonstiges
25-2031.00,2330,2,0.08692558819411572,19.975657554510555,False,41.82404447045,50.1786723693133,4,Sonstiges
25-2032.00,2320,2,0.0070361285177210405,-15.4376255333406,False,13.416577980547006,11.345376912521528,4,Sonstiges
25-2051.00,2352,2,0.044797857660316034,-4.290954457192263,False,17.397115878819,16.650613559593914,4,Sonstiges
25-2056.00,2352,2,0.12317861399440799,-4.290954457192263,False,17.397115878819,16.650613559593914,4,Sonstiges
25-2057.00,2352,2,0.0,-4.290954457192263,False,17.397115878819,16.650613559593914,4,Sonstiges
25-2058.00,2352,2,0.0678184053240817,-4.290954457192263,False,17.397115878819,16.650613559593914,4,Sonstiges
25-2059.01,3422,3,0.0,-0.5779948542670491,False,18.596802860598004,18.48931429700556,3,Sonstiges
25-3021.00,3423,3,0.029031501607763625,17.65825235636267,False,6.404440928735001,7.535353269945205,3,Sonstiges
25-3031.00,2330,2,0.00745317217707758,19.975657554510555,False,41.82404447045,50.1786723693133,4,Sonstiges
